Year,Month,States Affected and Category by States,Category,Name,"Central Pressure","Max Wind"
1851,Jun,TX 1,1,-,974,80
1851,Aug,FL 3; GA 1,3,"Great Middle Florida",955,100
1852,Aug,AL 3; MS 3; LA 2; FL 2,3,"Great Mobile",961,100
1852,Sep,FL 1,1,-,982,70
1852,Oct,FL 2; GA 1,2,"Middle Florida",965,90
1853,Oct,GA 1,1,-,965,70
1854,Jun,TX 1,1,-,982,70
1854,Sep,GA 3; SC 2; FL 1,3,"Great Carolina",950,100
1854,Sep,TX 2,2,"Matagorda",965,90
1855,Sep,LA 3; MS 3,3,"Middle Gulf Shore",945,110
1856,Aug,LA 4,4,"Last Island",934,130
1856,Aug,FL 2; AL 1; GA 1,2,"Southeastern States",965,90
1857,Sep,NC 2,2,-,961,90
1858,Sep,NY 1; CT 1; RI 1; MA 1,1,"New England",976,80
1859,Sep,AL 1; FL 1,1,-,982,70
1859,Oct,FL 1,1,-,974,80
1860,Aug,LA 3; MS 3; AL 2,3,-,945,110
1860,Sep,LA 2; MS 2; AL 1,2,-,965,90
1860,Oct,LA 2,2,-,965,90
1861,Aug,FL 1,1,"Key West",978,70
1861,Sep,NC 1,1,"Equinoctial",985,70
1861,Nov,NC 1,1,"Expedition",985,70
1865,Sep,LA 2; TX 1,2,"Sabine River",965,90
1865,Oct,FL 2,2,-,969,90
1866,Jul,TX 2,2,-,965,90
1867,Jun,SC 1,1,-,985,70
1867,Oct,LA 2; TX 1; FL 1,2,"Galveston",965,90
1869,Aug,ME 2; MA 1,2,"Lower Texas Coast",965,90
1869,Sep,LA 1,1,-,982,70
1869,Sep,RI 3; MA 3; NY 1; CT 1,3,"Eastern New England",963,100
1869,Oct,ME 2; MA 1,2,"Saxby's Gale",965,90
1870,Jul,AL 1,1,"Mobile",982,70
1870,Oct,FL 1,1,"Twin Key West (I)",970,70
1870,Oct,FL 1,1,"Twin Key West (II)",977,80
1871,Aug,FL 3,3,-,955,100
1871,Aug,FL 2,2,-,965,90
1871,Sep,FL 1,1,-,982,70
1873,Sep,FL 1,1,-,982,70
1873,Oct,FL 3,3,-,959,100
1874,Sep,FL 1; NC 1,1,-,981,80
1875,Sep,TX 3,3,-,955,100
1876,Sep,NC 1; VA 1,1,-,980,80
1876,Oct,FL 2,2,-,973,90
1877,Sep,LA 1; FL 1,1,-,982,70
1877,Oct,FL 3; GA 1,3,-,955,100
1878,Sep,FL 2; SC 1; GA 1,2,-,970,90
1878,Oct,"NC 2; VA 1; MD 1; DE 1; NJ 1; PA 1",2,-,963,90
1879,Aug,NC 3; VA 2; MA 1,3,-,971,100
1879,Aug,TX 2; LA 2,2,-,964,90
1879,Sep,LA 3,3,-,945,110
1880,Aug,TX 3,3,-,931,110
1880,Aug,FL 2,2,-,972,90
1880,Sep,NC 1,1,-,987,70
1880,Oct,FL 1,1,-,982,70
1881,Aug,GA 2; SC 1,2,-,970,90
1881,Sep,NC 2,2,-,975,90
1882,Sep,FL 3; AL 1,3,-,949,110
1882,Oct,FL 1,1,-,985,70
1883,Sep,NC 2; SC 1,2,-,965,90
